,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,,,,,,
2003,Max avg,28.55714286,29.27142857,29.12857143,30.84285714,30.8,31.62857143,32.2,32.48571429,31.65714286,33.12857143,33.12857143,33.91428571,34.27142857,33.2,33.55714286,33.2,30.55714286,30.41428571,30.27142857,31.12857143,31.62857143,31.7,31.34285714,30.05714286,25.2,26.05714286,25.65714286,25.31428571,25.14285714,24.37142857,25.37142857,24.05714286,25.37142857,24.2,24.42857143,25.34285714,25.91428571,25.28571429,25.85714286,25.97142857,22.74285714,26.48571429,24.44285714,26.75714286,29,28.4,30.04285714,29.48571429,29.4,29.4,29.4,29.4,,,,,,
2004,Max avg,29.4,29.57142857,30.4,29.85714286,29.94285714,30.94285714,31.6,33.05714286,34.15,35.05714286,34.48571429,33.4,31.82857143,29.94285714,32.41428571,33.95714286,31.62857143,30.74285714,29.4,28.21428571,28,28.51428571,27,23.62857143,25.68571429,25.05714286,25.97142857,24.82857143,25.4,22.8,22.91428571,23.74285714,23.48571429,23.85714286,22.42857143,23.74285714,23.22857143,23.17142857,23.45714286,23.94285714,21.91428571,25.68571429,23.51428571,25.35714286,25.22857143,23.28571429,24.97142857,24.31428571,23,25.54285714,26.71428571,27.125,,,,,,
2005,Max avg,27.62857143,27.28571429,27.87142857,27.92857143,27.97142857,28.01428571,27.42857143,30.28571429,32.25714286,31.77142857,32.91428571,33.62857143,33.48571429,32.82857143,33.08571429,32.31428571,31.91428571,30.6,31.05714286,32.08571429,31.8,29.05714286,28.31428571,28.48571429,26.75714286,24.54285714,23.98571429,25.3,26.14285714,22.02857143,21.94285714,22.8,22.2,24.37142857,27.4,24.28571429,23.37142857,24.6,24.25714286,26.85714286,24.42857143,24.77142857,24.31428571,25.65714286,26.02857143,26.22857143,25.71428571,27.17142857,27.74285714,28.2,28.31428571,26.95,,,,,,
2006,Max avg,25.34285714,23.45714286,25.34285714,24.82857143,30.65714286,30.97142857,31.57142857,31.77142857,32.28571429,31.91428571,30.14285714,32.6,31.77142857,32.6,31.71428571,31.42857143,31.54285714,32.25714286,31.74285714,31.08571429,31.48571429,26.34285714,25.62857143,27.54285714,28.62857143,24.82857143,23.37142857,22.91428571,23.65714286,23.2,21.45714286,22.71428571,21.97142857,22.2,21.82857143,22.71428571,22.77142857,22.85714286,24.14285714,22.65714286,23.14285714,25.97142857,24.6,23.77142857,22.5,23.27142857,21.44285714,21.75714286,20.01428571,21.6,18.97142857,21.7125,,,,,,
2007,Max avg,28.14285714,26,27.7,28.27142857,28.75714286,26.15714286,26.12857143,26.71428571,26.52857143,27.44285714,26.85714286,28.32857143,28.01428571,33.84285714,26.57142857,28.44285714,31.74285714,25.8,26.24285714,26.85714286,25.97142857,26.37142857,25.97142857,26.8,24.27142857,23.34285714,23.8,24.17142857,24.38571429,25,23.65714286,22.48571429,24.94285714,25.37142857,24.1,23.78571429,25.62857143,25.02857143,25.42857143,24.94285714,25.37142857,25.31428571,24.91428571,24.65714286,24.62857143,24.42857143,24.51428571,24.57142857,23.74285714,25.11428571,24.61428571,24.75,,,,,,
2008,Max avg,24.41428571,24.77142857,24.4,24.3,26.6,27.78571429,27.92857143,30.32857143,31.775,32.9,30.47142857,27.62857143,29.14285714,30.65714286,31.42857143,31.2,30.61428571,30.01428571,29.98571429,29.75714286,30.01428571,29.04285714,28.77142857,24.92857143,25.94285714,25.28571429,25.14285714,26.38571429,26.31428571,24.31428571,23.42857143,22.51428571,23.12857143,26.51428571,29.05714286,27.47142857,26.22857143,26.32857143,27.64285714,28.02857143,29.28571429,30.51428571,26.85714286,28.44285714,28.4,28.4,28.4,28.71428571,29.14285714,29.88571429,30,29.225,,,,,,
2009,Max avg,29.28571429,30.65714286,30.14285714,31.85714286,32.22857143,31.37142857,31.54285714,33.77142857,34.75714286,33.91428571,31.45714286,31.82857143,31.62857143,32.67142857,32.22857143,31.14285714,31.97142857,30.88571429,32.8,31.44285714,29.35714286,29.58571429,27.2,28.02857143,27.34285714,25.98571429,24.45714286,24.12857143,23.28571429,25.64285714,24.7,24.9,27.28571429,26.45714286,25.78571429,23.38571429,27.28571429,28.44285714,27.21428571,23.54285714,27.32857143,29.31428571,29.8,29.2,27.08571429,27.65714286,28.24285714,28.45714286,28.82857143,28.51428571,28.81428571,27.0375,,,,,,
2010,Max avg,28.37142857,28.31428571,29.44285714,28.37142857,29.65714286,30.42857143,32.48571429,32.52857143,33.31428571,33.51428571,34.28571429,33.85714286,32,34.65714286,33.1,32.37142857,32.32857143,30.98571429,31.42857143,30.65714286,29.27142857,31,30.32857143,26.4,27.5,26.64285714,24.4,27.1,23.97142857,23.6,23.21428571,25.11428571,25.91428571,25.35714286,24.31428571,23.97142857,25.84285714,27.38571429,29.42857143,28.8,26.92857143,26.04285714,26.51428571,27.08571429,25.05714286,27.65714286,28.08571429,27.45714286,26.45714286,26.3,27.35714286,28.55,,,,,,
2011,Max avg,27.37142857,28.84285714,30.17142857,30.37142857,29.85714286,29.94285714,29.31428571,29.74285714,31.84285714,33.94285714,33.28571429,33.68571429,32.34285714,32.71428571,31.65714286,30.97142857,30.3,30.64285714,30.07142857,30.28571429,30.28571429,29.17142857,26.4,25.02857143,24.65714286,24.25714286,25.2,24.65714286,22.94285714,24.11428571,23.48571429,23.4,23.4,23.4,23.4,25.17142857,25.08571429,25.57142857,27.68571429,28.71428571,28.08571429,28.45714286,27.77142857,27.88571429,27.38571429,27.94285714,28.08571429,26.94285714,27.91428571,28.42857143,27.94285714,27.575,,,,,,
2012,Max avg,29.17142857,29.22857143,28.3,29.17142857,28.37142857,30.8,30.65714286,32.65714286,34,32.37142857,32.97142857,33.34285714,34.37142857,32.28571429,32.54285714,31.71428571,30.51428571,30.57142857,30.4,30.3,29.85714286,29.42857143,27.27142857,26.5,24.42857143,25.51428571,24.4,24.4,24.4,24.4,24.27142857,22.94285714,24.62857143,26.62857143,23.35714286,25.18571429,25.98571429,26.48571429,28.05714286,27.11428571,27.34285714,28.8,28.51428571,25.42857143,27.65714286,27.57142857,27.85714286,28.94285714,28.8,29.85714286,27.9,29.225,,,,,,
2013,Max avg,30.62857143,30,31.45714286,30.28571429,29.22857143,30.88571429,29.14285714,31.22857143,32.48571429,32.02857143,31.51428571,32.62857143,32.62857143,33.42857143,34,33,32.57142857,31.05714286,30.91428571,30.6,30.48571429,27.6,25.74285714,24.51428571,23.8,24.02857143,23.01428571,22.87142857,22.6,22.14285714,21.64285714,22.2,22.74285714,23.57142857,26.51428571,26.65714286,26.08571429,25,26.71428571,25.85714286,26.62857143,27.14285714,27.14285714,27.85714286,28.71428571,28.68571429,28.25714286,27.68571429,27.91428571,28.08571429,27.4,27.8,,,,,,
2014,Max avg,27.88571429,29.84285714,28.63333333,28.78571429,28.74285714,31.54285714,29.88333333,30.15714286,32.05714286,31.15714286,33.45714286,34.74285714,35.125,35.42857143,32.64285714,32.74285714,34.5,33.93333333,29.28571429,31.42857143,31.71428571,30.33333333,28.85714286,27.34285714,26.85714286,29.92857143,27.64285714,25.21428571,24.85714286,25.1,24.61428571,24.51428571,26.3,27.78571429,24.54285714,25.64285714,27.71428571,27.32857143,29,28.35714286,27.14285714,26.92857143,25.35714286,25.05714286,26.52857143,25.45714286,26.04285714,24.95714286,26.04285714,24.71428571,25.48571429,25.57142857,,,,,,
2015,Max avg,25.77142857,26.04285714,26.15714286,26.9,26.98571429,28.02857143,29.35714286,29.35714286,28.64285714,29.34285714,29.14285714,31.07142857,31.57142857,31.28571429,29.57142857,30.42857143,27.92857143,29.71428571,29.42857143,28.35714286,29.78571429,29.42857143,26.85714286,26.42857143,24,24,25.71428571,25.57142857,24.85714286,24.5,24.85714286,24.64285714,25.78571429,26.35714286,26.08333333,26.92857143,25.21428571,25.74285714,27.41428571,26.28571429,26.42857143,28.07142857,28,27.78571429,25.71428571,24.42857143,23.42857143,25.07142857,25.28571429,27.21428571,27.21428571,26.8125,,,,,,
2016,Max avg,26.57142857,26.21428571,25.85714286,27.42857143,29.42857143,29.42857143,29,30.64285714,30.75,32.21428571,33.64285714,34.5,33.28571429,32.14285714,33.42857143,34.5,34.57142857,33.28571429,32,29.28571429,29.21428571,28.57142857,27.57142857,25.57142857,25.35714286,24.5,23.21428571,24.18571429,24.92857143,25.28571429,24.28571429,24.28571429,24.5,27.14285714,26.91666667,24.91666667,26.5,25.14285714,26.57142857,27.07142857,27,27.71428571,26.28571429,27.85714286,28.07142857,29,29.92857143,29.33333333,29,28,29,30.35714286,,,,,,
2017,Max avg,29.85714286,28.85714286,28.28571429,29,29.71428571,30.14285714,30.14285714,32,32.85714286,32.92857143,32.14285714,33.72857143,35.14285714,34.71428571,34.71428571,32.71428571,34.21428571,33.85714286,32.22857143,29.71428571,26.71428571,28.42857143,29.14285714,27.85714286,25.57142857,26,24.8,24,24.57142857,25,25.42857143,25.28571429,25.57142857,28.32857143,29.6,30.15714286,29.78571429,26.83333333,27.51571429,26.87142857,27.15428571,27.83,27.11571429,27.12571429,26.92428571,27.12285714,27.28428571,27.21333333,27.31285714,27.61142857,27.57285714,27.69035714,,,,,,
2018,Max avg,27.42857143,27.42857143,28.14285714,27.14285714,27.85714286,29.28571429,28.85714286,29.42857143,29.42857143,30.71428571,30.71428571,30.57142857,31.42857143,30.85714286,30.57142857,31.42857143,32.14285714,31.71428571,31.57142857,30.85714286,30.14285714,30.42857143,28.71428571,27.71428571,29.14285714,28.28571429,28.71428571,28.42857143,28.28571429,28.42857143,28.14285714,28.14285714,27.42857143,28,27.57142857,27.71428571,28.57142857,27.14285714,28.14285714,28.14285714,27.71428571,28,27,26.71428571,27,27,27.57142857,27.14285714,27.28571429,27.57142857,26.85714286,27.125,,,,,,
2019,Max avg,26.57142857,26.57142857,26.42857143,27.28571429,27.28571429,28.28571429,28.57142857,30.14285714,32.35714286,32.92857143,33.57142857,32.35714286,32.07142857,32.42857143,31.42857143,32.28571429,31.85714286,32.14285714,30.85714286,31.14285714,29.28571429,28.28571429,29.85714286,28,27.42857143,26.77142857,26.28571429,26.42857143,26.14285714,26.42857143,26,26.57142857,26.42857143,26.57142857,26.28571429,26,24,23.85714286,23.94285714,24.57142857,24.57142857,24.05714286,24.28571429,24.71428571,24.71428571,25.42857143,25.71428571,25.57142857,25.42857143,24.85714286,25.57142857,25.5625,,,,,,
2020,Max avg,25.57142857,26,27.42857143,29.14285714,28.85714286,30.42857143,30,30.28571429,31.28571429,32.14285714,31.85714286,32.71428571,33.42857143,33.28571429,31.64285714,31.21428571,29.42857143,29.14285714,28.57142857,29.28571429,29,29.14285714,29.14285714,28.71428571,27.85714286,28.85714286,28.28571429,27.42857143,27.28571429,25.42857143,23.42857143,23.14285714,23.74285714,24.65714286,25.77142857,25.48571429,23.25714286,24,25.22857143,25.88571429,24.05714286,25.02857143,25.37142857,26.71428571,26.86666667,25.4,25.71428571,26,27.14414286,27.264,27.23014286,27.62689286,,,,,,
2021,Max avg,23.8,24.48571429,26.68571429,27.45714286,26.62857143,27.25714286,27.8,24.74285714,27.8,28.85714286,29.91428571,30.08571429,30.68571429,30.77142857,29.71428571,27.28571429,28.17142857,26.45714286,26.14285714,25.57142857,26.94285714,27.74285714,27.02857143,24.48571429,24.34285714,26.25714286,26.74285714,23.57142857,22.65714286,23.54285714,23.94285714,23.74285714,23.94285714,24.34285714,23.6,23.28571429,23.54285714,25.42857143,25.34285714,24.91428571,24.82857143,24.87142857,25.08571429,24.74285714,24.5,23.32,24.22857143,24.68,24.97142857,24.25714286,23.6,24.625,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,,,,,,
1985,Min Avg,18.24285714,16.82857143,16.44285714,16.07142857,16.52857143,15.84285714,17.77142857,17.55714286,16.31428571,18.58571429,18.27142857,19.95714286,19.52857143,18.61428571,19.85714286,17.74285714,16.41428571,17.54285714,20.64285714,20.52857143,19.84285714,19.75714286,19.35714286,18.72857143,18.42857143,18.41428571,18.74285714,18.68571429,18.2,18.45714286,18.14285714,18.64285714,18.51428571,18.45714286,18.65714286,18.44285714,17.94285714,17.54285714,18.98571429,18.98571429,17.95714286,16.9,16.35714286,16.71428571,18.18571429,15.8,16.8,15.14285714,17.27142857,17.05714286,16.28571429,15.0125,,,,,,
1986,Min Avg,14.54285714,15.81428571,15.61428571,15.52857143,15.08571429,16.04285714,14.65714286,16.5,17.47142857,18.5,19.21428571,19.2,18.95714286,19.5,20.04285714,20.82857143,19.6,20.11428571,19.45714286,19.9,19.6,19.81428571,19.97142857,19.51428571,18.68571429,19.11428571,19.52857143,18.57142857,18.51428571,18.47142857,18.5,18.52857143,18.42857143,18.17142857,17.35714286,17.88571429,17.81428571,19.17142857,19.84285714,19.57142857,19.58571429,18.78571429,17.38571429,18.17142857,18.25714286,17.48571429,15.8,16.6,15.85714286,18.12857143,16.4,17.125,,,,,,
1987,Min Avg,14.94285714,15.84285714,15.64285714,16.57142857,14.07142857,14.5,15.64285714,17.41428571,17,17.54285714,15.45714286,17.9,18.37142857,19.8,19,20.18571429,20,18.78571429,20.02857143,19.52857143,20.35714286,20.34285714,18.88571429,19.57142857,19.55714286,19.35714286,19.18571429,19.31428571,19.28571429,19.3,18.75714286,19.1,19.14285714,19.32857143,19.8,19.11428571,18.97142857,19.4,18.98571429,19.6,19.6,19.02857143,19.17142857,16.05714286,17,17.27142857,18.24285714,13.22857143,16.31428571,18.54285714,12.15714286,14.8875,,,,,,
1988,Min Avg,12.8,13.55714286,13.18571429,13.44285714,13.42857143,12.74285714,16.22857143,17.31428571,15.65,16.82857143,17.52857143,15.22857143,14.6,19.48571429,19.98571429,18.7,18.42857143,20.25714286,20.71428571,21.08571429,20.74285714,20.55714286,20.02857143,19.22857143,19.17142857,19.28571429,19.37142857,19.14285714,19.77142857,19.44285714,19.72857143,19.47142857,19.48571429,19.61428571,19.25714286,19.32857143,19.28571429,19.77142857,19.04285714,19.17142857,18.1,17.75714286,18.31428571,17.88571429,16.41428571,14.07142857,12.7,10.27142857,13.65714286,15.97142857,13.44285714,11.6125,,,,,,
1989,Min Avg,13.22857143,11.14285714,12.9,14.02857143,10.77142857,12.7,13.81428571,14.8,13.72857143,16.58571429,15.78571429,17.48571429,17.45714286,19.14285714,18.64285714,19.28571429,19.3,19.32857143,21.34285714,20.64285714,20.5,18.22857143,19,19.51428571,18.65714286,18.75714286,19.47142857,18.31428571,18.37142857,18.58571429,17.75714286,18.18571429,17.75714286,18.1,18.45714286,15.95714286,17.45714286,19,18.32857143,16.97142857,18.8,18.17142857,18.27142857,16.01428571,15.42857143,16.45714286,12.05714286,13.8,14.28571429,12.85714286,12.65714286,14.7875,,,,,,
1990,Min Avg,14.54285714,12,8.285714286,9.9,10.22857143,13.3,13.74285714,11.31428571,12.57142857,13.28571429,14.41428571,14.95714286,15.14285714,14.07142857,14.84285714,17.68571429,17.64285714,17.55714286,19.28571429,16.85714286,18.71428571,18.25714286,17.35714286,18.34285714,18.32857143,18.15714286,17.97142857,17.48571429,17.45714286,17.28571429,18.24285714,17.22857143,17.74285714,17.65714286,17.62857143,17.95714286,17.35714286,15.9,17,15.98571429,12.28571429,10.95714286,11.45714286,13.85714286,16.65714286,16.41428571,17.92857143,16.58571429,16.27142857,14.3,13.91428571,14.725,,,,,,
1991,Min Avg,13.71428571,15.1,15.32857143,13.68571429,11.98571429,13.58571429,13.4,14.85714286,15.64285714,15.95714286,18.62857143,16.61428571,18.91428571,18.2,18.94285714,19.61428571,20.6,19.65714286,19.68571429,18.82857143,19.52857143,20.07142857,20.5,21.14285714,20.25714286,19.88571429,19.15714286,19.54285714,19.05714286,19.15714286,19.24285714,19.24285714,18.25714286,18.8,18.68571429,17.28571429,18.74285714,17.94285714,19.14285714,19.24285714,19.4,18.4,18.52857143,19.22857143,16.78571429,17.14285714,16.41428571,11.8,12.11428571,13.98571429,16.25714286,13.3125,,,,,,
